WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;501;502;503;504;505;506;507;508;509;510;511;512
5;6;5;Eitel, Lukas;8;5;4.383;2.030;168;153;90;147;84;81;2.353;764;224;113;125;81
5;6;6;Gerbig, Stefan;6;6;4.266;1.353;270;333;2.913;283;41;35;27;43;145;46;74;56
5;6;7;Beuckert, Michael;12;7;4.164;815;79;63;50;87;3.349;147;43;52;70;108;51;65
5;6;8;Salzbrunn, Anton;14;8;4.094;591;35;45;28;39;22;13;288;3.503;53;22;32;14
5;6;9;Wiedmann, René;16;9;3.482;431;53;89;25;47;22;13;33;27;69;27;3.051;26
5;6;10;Rettlinger, Heinz;24;10;3.174;489;39;44;35;36;76;2.685;17;29;42;65;49;57
5;6;11;Förster, Henry;18;11;3.009;96;10;5;5;6;10;5;27;5;14;2.913;6;3
5;6;12;Trenkner, Sibylle;7;12;2.519;2.519;227;160;97;143;756;337;104;102;163;189;138;103
5;6;13;Schwarz, Tino;22;13;2.194;195;21;17;19;21;7;42;11;13;18;10;16;1.999
5;6;14;Weinberg, Harald;10;14;2.002;2.002;160;142;88;110;780;199;42;72;145;111;84;69
5;6;15;Müller, Heidi;19;15;1.565;1.565;116;105;94;153;120;162;118;94;175;242;120;66
5;6;16;Greim, Mechthild;11;16;1.332;1.332;262;184;133;219;54;42;52;67;147;50;72;50
5;6;17;Schönweiß, Ulrich;20;17;1.219;1.219;150;102;64;116;38;28;35;56;475;57;64;34
5;6;18;Mayer, Anna;23;18;1.194;1.194;211;138;99;163;57;53;53;96;141;40;77;66
5;6;19;Lüdemann, Angelika;5;19;914;914;173;124;89;146;30;33;38;36;93;32;81;39
5;6;20;Heike, Anny;13;20;804;804;31;19;21;37;22;23;29;15;500;63;31;13
5;6;21;Feldmann, Christiane;9;21;591;591;25;29;176;38;24;22;14;6;36;10;28;183
5;6;22;Krapf, Christa;21;22;519;519;88;82;69;72;16;16;15;29;67;12;30;23
5;6;23;Vigilante Raffa, Tamara;17;23;358;358;30;18;9;23;150;41;14;12;16;19;15;11
5;6;24;Pirner, Giesberta;15;24;327;327;46;43;28;59;11;16;11;18;28;13;35;19
5;7;1;Brendecke, Michael;2;1;1.232;619;18;15;40;22;152;43;32;22;185;613;41;49
5;7;2;Rinke, Klaus-Peter;1;2;1.192;680;23;38;37;24;512;151;52;43;61;93;77;81
5;7;3;Mauderer, Josef;3;3;1.003;249;3;9;31;11;26;70;14;12;10;32;31;754
5;7;4;Weigl, Michaela;9;4;783;146;5;7;4;14;20;637;11;6;10;20;24;25
5;7;5;Kral, Manfred;5;5;779;273;10;13;10;15;37;25;506;13;8;77;34;31
5;7;6;Hoff, Peter;7;6;700;350;32;39;350;61;35;17;20;14;19;39;33;41
5;7;7;Bock, Irmtraud;4;7;650;373;25;25;51;277;29;52;22;11;25;53;35;45
5;7;8;Häring, Martin;11;8;492;46;3;5;2;5;8;5;1;1;4;7;446;5
5;7;9;Brendecke, Fatimah;8;9;470;77;5;6;4;7;5;3;4;3;393;35;1;4
5;7;10;Braungardt, Werner;6;10;428;216;212;6;10;10;15;15;66;3;5;24;9;53
5;7;11;Bogacki, Rafael;10;11;355;128;3;5;4;3;9;7;54;227;11;21;8;3
5;7;12;Peppenauer, Jonas;12;12;325;325;12;16;18;16;44;67;18;16;17;25;25;51
5;8;1;Osterlänger, Jürgen;1;1;3.868;2.583;220;234;129;105;319;278;225;448;200;1.285;220;205
5;8;2;Höppel, Frank;2;2;2.459;849;55;72;24;24;44;35;164;1.610;57;292;48;34
5;8;3;Brendle-Behnisch, Günther;3;3;1.960;509;31;36;24;21;1.451;103;28;65;41;72;28;60
5;8;4;Wolkersdorfer, Roland;8;4;1.869;1.028;72;97;212;65;95;67;42;130;77;98;73;841
5;8;5;Ebert, Reinhard;10;5;1.452;44;3;4;4;5;6;1.408;0;5;6;1;2;8
5;8;6;Anschütz, Hans;6;6;1.290;405;36;44;885;51;14;72;13;35;22;36;11;71
5;8;7;Reinhart, Manfred;12;7;1.275;367;16;13;11;9;9;11;908;258;16;7;11;6
5;8;8;Rechholz, Christian;5;8;1.118;573;93;98;79;545;43;15;29;63;40;41;42;30
5;8;9;Stryz, Franz;9;9;1.068;220;848;29;25;24;12;10;9;34;26;15;21;15
5;8;10;Hager, Ludwig;13;10;935;91;30;844;10;10;3;2;3;7;9;3;6;8
5;8;11;Zankl, Claudia;14;11;847;847;118;108;61;59;39;55;47;93;70;47;77;73
5;8;12;Malowaniec, Dr. Krzysztof;7;12;833;158;22;19;33;29;5;8;7;7;675;12;7;9
5;8;13;Spiegel, Norbert;11;13;799;46;3;3;1;3;3;5;8;11;3;2;753;4
5;8;14;Sichermann, Paul;22;14;685;685;20;15;11;15;422;112;6;11;14;29;12;18
5;8;15;Hetzel, Maria;4;15;497;497;13;13;11;6;289;48;7;35;12;32;14;17
5;8;16;Scherer, Simon;15;16;462;462;4;7;6;5;15;379;8;10;5;5;5;13
5;8;17;Schrollinger, Thomas;16;17;455;455;59;61;97;35;32;28;13;15;25;19;27;44
5;8;18;Stadelmann, Christian;21;18;339;339;17;18;6;19;13;16;28;136;15;20;37;14
5;8;19;Maibom, Johannes;17;19;299;299;8;4;4;2;5;6;12;17;12;221;3;5
5;8;20;Grahn, Leif;19;20;193;193;11;6;11;11;8;10;40;57;11;8;7;13
5;8;21;Klein, Martin;18;21;138;138;2;3;2;0;90;21;1;1;3;6;3;6
5;8;22;May, Daniela;20;22;135;135;6;3;6;3;7;2;4;6;4;88;2;4
5;8;23;Ullmann, Christian;23;23;105;105;2;4;3;4;9;3;12;53;4;8;3;0
5;8;24;Ott, Heinrich;24;24;55;55;11;6;6;4;7;2;0;4;6;3;6;0
5;9;1;Windisch, Matthias;1;1;2.879;2.083;186;796;177;135;138;171;144;227;227;159;273;246
5;9;2;Betz, Florian;7;2;2.033;1.191;156;173;94;842;73;58;48;116;202;93;108;70
5;9;3;Vogel, Hilmar;6;3;1.762;691;77;78;42;93;51;39;39;67;1.071;102;65;38
5;9;4;Purzner, Jürgen;3;4;1.491;672;61;89;27;53;38;41;123;819;77;77;58;28
5;9;5;Wanger, Markus;2;5;1.392;533;26;166;17;28;96;859;16;35;52;32;29;36
5;9;6;Warsinke, Stefan;5;6;1.259;570;68;76;40;105;33;31;13;73;61;689;41;29
5;9;7;Ceglar, Michael;8;7;1.255;353;28;51;24;50;29;18;22;53;40;19;902;19
5;9;8;Reitmaier, Peter;11;8;1.019;393;17;14;12;15;626;224;13;13;23;16;25;21
5;9;9;Turnwald-Kurtz, Erich;10;9;927;312;33;44;615;87;12;14;8;27;26;16;34;11
5;9;10;Rank, Wolfgang;4;10;836;317;26;19;28;16;32;39;29;23;37;17;51;519
5;9;11;Körber, Hayo;12;11;789;108;681;12;10;21;4;7;9;9;11;12;10;3
5;9;12;Radojevic, Daniel;9;12;669;122;7;10;9;17;7;11;547;19;11;14;8;9
5;10;1;Gattenlöhner, Robert;1;1;2.520;1.589;92;108;161;100;254;184;133;66;129;207;155;931
5;10;2;Wagner, Klaus;8;2;1.894;489;26;12;39;21;1.405;149;19;16;40;119;22;26
5;10;3;Brandl, Andreas;2;3;1.677;424;32;98;20;26;42;29;28;22;19;20;1.253;88
5;10;4;Trutz, Paul;22;4;1.577;513;83;52;1.064;85;62;31;31;16;51;40;28;34
5;10;5;Bartlitz, Dr. David;4;5;1.564;874;690;96;134;141;89;35;58;29;87;79;71;55
5;10;6;Kistler, Karola;7;6;1.321;223;22;18;14;23;50;16;34;8;11;1.098;18;9
5;10;7;Ackermann, Carola;9;7;1.287;278;14;14;12;24;37;31;1.009;40;16;30;29;31
5;10;8;Wagner, Martin;10;8;1.130;180;7;8;16;25;34;17;7;5;950;44;10;7
5;10;9;Reinwald, Ulrich;5;9;1.124;367;87;42;76;757;33;18;19;9;34;18;21;10
5;10;10;Bloos, Werner;24;10;1.109;134;6;4;9;6;40;975;36;6;5;10;6;6
5;10;11;Turinsky, Bianka;3;11;890;229;16;661;27;13;12;8;6;13;16;17;85;16
5;10;12;Gattenlöhner, Elke;6;12;674;674;19;24;43;27;46;49;19;12;34;33;18;350
5;10;13;Sommerkorn, Klaus;11;13;650;161;8;5;12;4;20;11;41;489;29;13;15;3
5;10;14;Haas, Edeltraud;15;14;363;363;17;69;47;16;36;28;23;7;35;30;34;21
5;10;15;Zagel, Ralph;21;15;352;352;2;17;5;3;6;4;9;1;7;3;291;4
5;10;16;Hirsch, Harald;12;16;241;241;9;4;11;13;12;8;40;103;13;15;7;6
5;10;17;Raber, Regina;17;17;209;209;2;4;8;5;24;10;17;4;95;22;11;7
5;10;18;Dorsch, Marco;23;18;206;206;1;2;6;1;20;95;4;1;4;66;1;5
5;10;19;Zehner, Roland;16;19;182;182;3;4;0;3;15;5;115;8;4;18;4;3
5;10;20;Grupe, Christian;14;20;161;161;4;0;4;2;12;3;21;78;12;16;7;2
5;10;21;Nikol, Olga;13;21;154;154;10;55;8;7;6;2;6;2;15;15;23;5
5;10;22;Gsänger, Franz;18;22;140;140;3;6;9;3;8;5;4;0;6;2;9;85
5;10;23;Hasenest, Werner;20;23;132;132;6;3;3;3;1;8;7;1;4;4;92;0
5;10;24;Pudalik, Roland;19;24;110;110;3;60;8;1;6;5;2;3;6;1;10;5
5;11;1;Swoboda, Raimund;1;1;46.214;37.453;2.640;2.774;3.175;2.756;4.699;3.799;2.880;2.356;4.737;8.761;4.011;3.626
5;11;2;Müller, Dr. Ralph;2;2;20.554;12.121;744;1.168;1.013;839;948;710;532;472;922;3.647;8.433;1.126
5;11;3;Mang, Ferdinand;4;3;14.906;7.557;451;434;657;515;801;883;371;377;884;929;1.255;7.349
5;11;4;Meier, Johannes;6;4;12.725;4.156;91;124;173;132;8.569;1.886;165;87;316;630;218;334
5;11;5;Pleyer, Claus-Georg;3;5;12.115;2.660;138;167;165;190;253;130;113;122;9.455;964;252;166
5;11;6;Dörner, Dr. Wolfgang Marc;9;6;11.113;5.160;5.953;682;769;935;316;207;155;184;641;218;730;323
5;11;7;Vogler, Matthias;10;7;10.468;3.784;762;507;615;6.684;205;99;95;103;526;209;405;258
5;11;8;Lang, Siegfried;7;8;9.842;1.377;34;50;50;54;252;8.465;59;40;73;242;102;421
5;11;9;Konrad, Peter;11;9;8.771;1.162;60;80;7.609;85;237;99;54;59;104;214;85;85
5;11;10;Wahner, Klaus;12;10;8.498;2.940;358;5.558;414;506;195;153;103;105;409;167;325;205
5;11;11;Meister, Michael;8;11;8.345;1.642;56;62;68;69;141;74;6.703;453;186;339;92;102
5;11;12;Jentzsch, René;5;12;7.834;3.606;73;60;96;76;224;134;1.786;4.228;148;770;116;123
5;13;1;Deutschmann, Christine;1;1;939;696;243;78;38;46;56;65;46;42;54;63;171;37
5;13;2;Philipp, Susanne;2;2;734;383;92;24;31;12;26;45;20;26;35;32;351;40
5;13;3;Bullmer, Andrea;4;3;365;119;32;246;5;14;7;5;6;12;20;5;7;6
5;13;4;Turetschek, Herbert;3;4;334;146;24;22;7;18;14;11;12;188;6;13;14;5
5;13;5;Ackermann, Renate;21;5;221;221;7;6;4;3;97;42;8;6;9;19;16;4
5;13;6;Wohlgemuth, Wolfgang;5;6;148;148;16;18;4;7;4;10;15;38;14;5;13;4
5;13;7;Weberpals, Dieter;8;7;109;109;13;5;4;12;6;2;7;11;11;7;24;7
5;13;8;Wolfram, Ute;6;8;107;107;16;9;18;3;11;12;1;7;9;8;6;7
5;13;9;Schößwender, Martina;10;9;91;91;6;10;2;7;9;7;2;2;6;4;31;5
5;13;10;Philipp, Larissa-Katharina;14;10;86;86;10;3;7;2;3;13;7;4;6;8;11;12
5;13;11;Keller, Helmut;11;11;83;83;11;10;7;9;3;4;1;10;9;7;6;6
5;13;12;Schnack, Arwen;12;12;65;65;17;8;2;11;1;2;4;2;7;4;5;2
5;13;13;Wohlgemuth, Carina;18;13;53;53;8;8;3;2;4;4;6;4;6;2;3;3
5;13;14;Lengenfelder, Rainer;9;14;49;49;5;7;14;6;2;0;2;4;4;2;3;0
5;13;15;Wohlgemuth, Melina;16;15;40;40;7;3;2;1;3;1;5;15;1;1;0;1
5;13;16;Flohr, Dieter;7;16;39;39;0;2;0;1;1;3;0;0;9;21;1;1
5;13;17;Deutschmann, Tobias;20;17;37;37;1;3;1;3;3;3;3;1;2;2;12;3
5;13;18;Nißlbeck, Wolfgang;13;18;28;28;6;2;1;2;2;2;0;1;2;1;5;4
5;13;19;Meier, David;15;19;22;22;2;5;0;3;0;5;1;1;2;1;1;1
5;13;20;Kindler, Manfred;17;20;21;21;0;1;5;0;0;4;1;1;0;2;2;5
5;13;21;Philipp, Karlheinz;19;21;16;16;0;1;1;2;0;1;1;0;0;0;2;8
5;15;1;Volkert, Patrick;1;1;2.693;2.109;206;216;146;184;198;203;159;178;208;205;206;584
5;15;2;Dörrie, Dr. Jan;5;2;1.438;1.438;184;146;85;134;94;80;79;100;188;118;140;90
5;15;3;Knapp, Jörg;9;3;1.196;475;721;72;53;70;32;30;36;28;50;39;35;30
5;15;4;Roser, Julian;2;4;761;761;53;51;57;43;51;52;37;49;71;49;62;186
5;15;5;Kristuf, Rainer;7;5;659;659;76;60;31;44;44;30;37;35;182;50;30;40
5;15;6;Neidnicht, Josefine;6;6;647;647;102;52;40;58;43;33;46;58;66;65;52;32
5;15;7;Pleick, Yannik;3;7;447;447;35;31;18;37;24;23;22;19;25;19;28;166
5;15;8;Hubatsch, Leon;8;8;291;291;20;16;17;12;22;23;25;18;43;68;19;8
5;15;9;Schelte, Simon;4;9;223;223;16;14;16;21;16;14;8;14;13;17;16;58
5;16;1;Beyerlein, Andrea;1;1;628;384;20;26;38;27;48;56;17;26;42;40;44;244
5;16;2;Preis, Alexander;3;2;547;547;32;42;35;26;38;25;51;61;59;54;41;83
5;16;3;Asbeck, Stefan;2;3;180;180;18;19;4;12;11;14;13;4;17;11;14;43
5;18;1;Streck, Markus;1;1;954;670;64;59;76;43;43;52;47;49;60;72;105;284
5;18;2;Maurer, Michaela;10;2;770;494;64;54;276;51;52;33;26;20;60;44;51;39
5;18;3;Dischner, Doris;8;3;727;306;35;40;25;30;21;31;14;17;39;34;421;20
5;18;4;Michalko, Simone;3;4;627;323;46;304;26;23;30;27;20;32;42;29;22;26
5;18;5;Erler, Marie Alin;9;5;510;139;12;14;11;7;16;13;7;11;371;26;10;12
5;18;6;Näser, Melanie;6;6;489;201;23;32;23;288;18;15;3;16;22;19;16;14
5;18;7;Moshammer, Daniel;2;7;470;130;15;6;5;8;17;340;3;4;14;5;6;47
5;18;8;Garratt, Daniel;5;8;456;195;261;37;15;22;12;9;8;15;26;16;22;13
5;18;9;Fischer, Michaela;7;9;414;88;12;5;11;4;7;3;7;3;17;326;10;9
5;18;10;Sibai, Amina;4;10;360;93;8;10;3;4;267;28;4;3;8;15;6;4
