WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;401;402;403;404;405;406;407;408
4;1;1;Huml, Melanie;1;1;139.264;116.316;26.972;22.948;13.574;13.848;14.613;12.102;20.114;15.093
4;1;2;Brendel-Fischer, Gudrun;3;2;43.381;6.366;128;348;37.015;140;187;631;336;4.596
4;1;3;Schöffel, Martin;8;3;36.473;3.192;49;126;683;120;150;1.916;148;33.281
4;1;4;Dremel, Holger;9;4;36.365;7.007;29.358;3.977;562;443;451;375;766;433
4;1;5;Baumgärtner, Jürgen;16;5;32.821;587;54;63;52;195;40;69;32.234;114
4;1;6;König, Alexander;5;6;29.191;2.072;41;95;178;127;91;27.119;604;936
4;1;7;Mittag, Martin;4;7;26.720;1.925;199;333;168;24.795;153;136;748;188
4;1;8;Hofmann, Michael;11;8;24.363;775;284;171;124;43;23.588;54;50;49
4;1;9;Hohl, Dr. Michael;10;9;22.845;22.845;74;219;17.497;195;285;1.052;409;3.114
4;1;10;Lerchenfeld Freiherr von, Ludwig;2;10;22.309;22.309;299;2.763;1.062;486;398;4.679;3.080;9.542
4;1;11;Kraus, Rosa;7;11;15.967;15.967;770;825;2.570;669;8.776;805;750;802
4;1;12;Schulz, Michael;13;12;10.905;10.905;67;135;118;8.822;162;180;1.187;234
4;1;13;Kuhn, Stefan;12;13;10.874;10.874;1.103;8.049;148;201;734;144;343;152
4;1;14;Wagner, Paul-Bernhard;6;14;8.879;8.879;67;138;159;102;91;7.472;296;554
4;1;15;Zorn, Christian;15;15;4.787;4.787;54;72;64;159;83;75;4.066;214
4;1;16;Hummel, Alexander;14;16;4.503;4.503;1.635;1.836;127;128;356;132;168;121
4;2;1;Aures, Inge;1;1;47.158;29.456;1.236;2.032;7.297;3.235;2.192;7.872;5.592;17.702
4;2;2;Adelt, Klaus;2;2;24.912;5.780;48;82;324;116;70;19.132;436;4.704
4;2;3;Busch, Michael;3;3;17.526;2.192;79;120;134;15.334;88;242;1.241;288
4;2;4;Tasdelen, Halil;5;4;13.875;2.088;40;102;11.787;108;217;266;81;1.274
4;2;5;Pohl, Dr. Ralf;4;5;11.910;1.757;71;164;219;642;148;202;10.153;311
4;2;6;Kuntke, Heinz;6;6;7.178;1.900;1.071;5.278;124;120;303;62;91;129
4;2;7;Bartl, Franziska;9;7;6.326;6.326;63;139;154;5.333;132;122;226;157
4;2;8;Metzner, Uwe;8;8;5.424;1.395;4.029;1.105;61;59;61;29;38;42
4;2;9;Karabag, Dr. Atila;7;9;5.312;804;79;204;193;88;4.508;95;73;72
4;2;10;Flauder, Christina;13;10;4.882;4.882;17;19;168;37;14;87;147;4.393
4;2;11;Mielentz, Jörg;12;11;4.789;4.789;25;32;80;42;46;3.623;53;888
4;2;12;Müller, Sebastian;10;12;3.287;3.287;48;75;45;270;35;50;2.663;101
4;2;13;Müller, Miriam;11;13;3.209;3.209;562;1.655;152;155;268;118;136;163
4;2;14;Winkelmaier, Oliver;14;14;1.945;1.945;19;23;1.632;45;119;26;26;55
4;2;15;Schmidt, Richard;15;15;1.342;1.342;34;29;60;52;1.024;37;55;51
4;2;16;Berger, Joscha;16;16;842;842;299;138;76;62;113;48;47;59
4;3;1;Glauber, Thorsten;1;1;29.259;11.929;2.017;1.264;2.850;1.470;17.330;1.336;1.444;1.548
4;3;2;Ludwig, Rainer;2;2;15.817;4.574;162;127;815;255;1.211;577;1.427;11.243
4;3;3;Wiedemann, Florian;3;3;12.844;2.040;165;161;10.804;189;339;257;170;759
4;3;4;Zwingmann, Michael;4;4;10.062;1.381;61;58;146;378;125;134;8.681;479
4;3;5;Scheer, Verena;7;5;8.774;2.333;6.441;1.686;131;77;112;93;137;97
4;3;6;Simmerlein, Elisabeth;6;6;8.166;8.166;137;54;114;74;7.589;41;95;62
4;3;7;Preißler, Maria;5;7;6.760;1.293;112;81;223;5.467;135;135;438;169
4;3;8;Stetten von, Dr. Klaus;13;8;6.316;6.316;55;62;330;98;145;933;103;4.590
4;3;9;Grötsch, Hans Martin;8;9;6.280;721;66;64;176;60;107;5.559;85;163
4;3;10;Lampl, Maria;10;10;5.722;5.722;90;70;3.974;115;152;279;134;908
4;3;11;Schutty, Dietmar;9;11;5.029;1.364;839;3.665;81;106;133;36;95;74
4;3;12;Rödel, Peter;15;12;3.985;3.985;54;35;98;64;58;3.451;74;151
4;3;13;Deuerling, Georg;11;13;3.539;3.539;88;40;70;111;53;50;2.876;251
4;3;14;John, Claudia;14;14;3.250;3.250;909;1.028;191;281;272;138;291;140
4;3;15;Kräußlich, Max;16;15;2.767;2.767;30;26;45;2.499;44;20;76;27
4;3;16;Weber, Viktor;12;16;774;774;240;412;26;9;26;19;21;21
4;4;1;Sowa, Ursula;1;1;34.483;21.445;4.807;13.038;3.828;2.470;3.411;2.040;2.498;2.391
4;4;2;Pargent, Tim;2;2;21.203;8.180;394;2.961;13.023;613;674;1.089;676;1.773
4;4;3;Huber, Emmerich;4;3;11.751;1.988;163;721;446;166;9.763;170;175;147
4;4;4;Memmel, Edith;3;4;11.493;3.550;199;740;610;1.124;253;245;7.943;379
4;4;5;Lunz, Georg;10;5;11.100;2.841;8.259;1.975;226;112;191;75;164;98
4;4;6;Prechtel, Dr. Annette;7;6;11.053;11.053;385;1.412;1.315;468;5.986;486;463;538
4;4;7;Sinterhauf, Ina;5;7;10.896;1.367;95;255;190;9.529;97;164;460;106
4;4;8;Gote, Ulrike;15;8;8.978;8.978;112;602;5.687;232;207;742;278;1.118
4;4;9;Kukla, Wilfried;8;9;8.538;321;12;36;73;13;19;154;14;8.217
4;4;10;Brammer, Philipp;6;10;7.522;1.313;47;250;325;114;131;6.209;130;316
4;4;11;Benzel-Weyh, Martina;9;11;5.480;5.480;58;219;170;4.610;88;66;215;54
4;4;12;Glüsenkamp, Jonas;16;12;3.380;3.380;239;2.605;165;68;124;52;75;52
4;4;13;Artmann, Brigitte;11;13;2.740;2.740;35;47;125;35;39;194;92;2.173
4;4;14;Motschmann, Valentin;14;14;2.473;2.473;78;294;152;247;64;66;1.462;110
4;4;15;Wandel, Elisabeth;13;15;1.775;1.775;47;107;135;61;69;1.225;58;73
4;4;16;Behr, Ralph;12;16;1.426;1.426;462;358;193;76;128;72;78;59
4;5;1;Körber, Sebastian;1;1;9.741;6.417;931;1.632;1.145;709;3.324;697;606;697
4;5;2;Pöhner, Martin;2;2;5.816;2.749;706;3.067;306;271;822;184;255;205
4;5;3;Funke-Barjak, Luisa;7;3;4.377;518;30;56;3.859;49;54;115;57;157
4;5;4;Otte, Michael;3;4;3.873;674;48;91;205;86;98;65;81;3.199
4;5;5;Herbert, Dr. Ulrich;6;5;3.759;955;61;113;149;2.804;86;117;328;101
4;5;6;Huttner, Dr. Stephan;13;6;3.751;3.751;56;102;2.420;130;110;217;97;619
4;5;7;Bischoff, Harald;4;7;3.666;683;63;51;58;243;78;83;2.983;107
4;5;8;Wünsche, Martin;5;8;3.478;486;2.992;226;42;28;101;27;34;28
4;5;9;Senf, Peter;8;9;3.400;509;14;26;46;49;26;2.891;37;311
4;5;10;Wernsdörfer, Steffen;10;10;2.624;2.624;470;963;224;187;229;161;222;168
4;5;11;Schick, Stefan;12;11;1.488;1.488;37;56;87;34;1.193;28;25;28
4;5;12;Gebhard, Gerold;16;12;1.137;1.137;13;15;21;1.002;8;13;37;28
4;5;13;Froeschmann, Peter;14;13;859;859;6;8;25;14;8;683;14;101
4;5;14;Drechsler, Margit;9;14;842;842;20;33;91;44;32;72;110;440
4;5;15;Pflaum, Sebastian;11;15;737;737;260;116;68;47;128;37;44;37
4;5;16;Nehmzow, Irmgard;15;16;306;306;15;20;23;11;7;10;190;30
4;6;1;Lehmann, Paul;1;1;8.518;5.936;958;2.582;1.237;643;895;788;639;776
4;6;2;Tränkenschuh, Andreas;7;2;3.263;1.676;1.587;1.006;208;121;86;97;85;73
4;6;3;Sommerer, Sebastian;4;3;3.158;704;18;68;2.454;20;36;102;22;438
4;6;4;Bätz, Florian;9;4;3.028;868;56;56;59;2.160;34;83;513;67
4;6;5;Frisch, Manuel;3;5;2.650;510;22;53;95;25;30;2.140;32;253
4;6;6;Greim, Oswald;8;6;2.480;221;12;33;51;11;38;49;27;2.259
4;6;7;Knoblach, Detlef;6;7;2.384;572;40;98;106;71;49;99;1.812;109
4;6;8;Saeidi, Babette;2;8;2.096;2.096;87;610;216;621;116;133;158;155
4;6;9;Pätzke, Wilfried;10;9;1.976;140;25;27;31;6;1.836;14;16;21
4;6;10;Baumgartner, Ludwig;11;10;1.232;1.232;56;201;256;96;81;163;79;300
4;6;11;Hähnlein, René;16;11;943;943;9;21;23;789;4;22;57;18
4;6;12;Schmittnägel, Gabriele;5;12;617;617;32;31;46;25;32;379;23;49
4;6;13;Warstat, Stefan;13;13;538;538;19;32;55;35;31;63;255;48
4;6;14;Zimmermann, Gerhard;12;14;481;481;83;224;28;15;47;35;17;32
4;6;15;Hluchy, Linus;14;15;479;479;28;33;29;18;311;20;19;21
4;6;16;Gellenthien, Tobias;15;16;220;220;21;13;29;24;95;15;10;13
4;7;1;Wagner, Jürgen;1;1;2.618;2.057;441;381;236;236;147;561;294;322
4;7;2;Zeigler, Christiane;6;2;1.594;393;47;35;73;55;33;104;46;1.201
4;7;3;Sedlmeyer, Gunther;5;3;1.439;331;1.108;41;46;51;33;33;56;71
4;7;4;Gerbig, Matthias;8;4;1.325;562;110;119;51;54;55;73;763;100
4;7;5;Ehret, Alfred;3;5;1.291;612;48;19;679;32;352;63;45;53
4;7;6;Voß, Torsten;7;6;1.081;352;42;26;125;45;729;34;32;48
4;7;7;Dotzler, Thomas;2;7;1.037;436;84;601;45;37;27;148;39;56
4;7;8;Suck, Frank;4;8;986;459;153;47;40;527;45;46;43;85
4;8;1;Müller, Thomas;1;1;2.709;1.374;156;205;211;242;177;113;1.335;270
4;8;2;Büchner, Lucas;7;2;1.353;557;206;796;52;116;84;16;55;28
4;8;3;Büchner, Thomas;3;3;1.274;162;13;48;12;1.112;15;10;57;7
4;8;4;Sieling, Tobias;4;4;1.257;423;834;152;53;52;49;14;70;33
4;8;5;Forster, Manuela;2;5;933;288;20;26;34;37;645;22;129;20
4;8;6;Englert, Reinhard;8;6;824;193;3;4;6;8;5;7;160;631
4;8;7;Koppe, Bernd;6;7;744;70;12;4;674;15;12;7;6;14
4;8;8;Schmidt, Stephan;5;8;451;73;3;3;6;5;9;378;14;33
4;8;9;Raabs, Christoph;9;9;448;448;10;16;16;370;8;7;17;4
4;8;10;Grimm, Raphael;10;10;411;411;63;172;23;39;45;16;25;28
4;8;11;Lenk, Markus;14;11;278;278;6;19;170;16;15;8;11;33
4;8;12;Duppel, Ralf;12;12;186;186;2;8;7;5;6;134;5;19
4;8;13;Wilhelm, Simon;15;13;146;146;7;5;10;6;109;2;5;2
4;8;14;Pülz, Michael;16;14;124;124;4;5;3;24;3;9;72;4
4;8;15;Bachmeyer, Konrad;11;15;113;113;4;3;31;3;1;6;4;61
4;8;16;Dworazik, Dietmar;13;16;73;73;38;25;0;2;3;1;2;2
4;9;1;Rödel, Michael;1;1;1.408;963;109;145;172;121;140;445;109;167
4;9;2;Goßrau, Peter;2;2;794;277;34;23;33;43;26;87;517;31
4;9;3;Wagner, Karl;3;3;534;534;46;41;59;40;40;180;53;75
4;9;4;Korb, Stephan;5;4;433;433;19;14;30;32;20;249;28;41
4;9;5;Berek, Anita;6;5;421;421;38;43;40;29;35;36;30;170
4;9;6;Leopold, Richard;4;6;388;388;38;32;40;18;206;14;21;19
4;9;7;Steffen, Nico;9;7;340;340;89;88;22;35;24;20;33;29
4;9;8;Rauh, Daniel;7;8;316;316;16;9;12;14;9;7;235;14
4;9;9;Sturm, Holger;8;9;179;179;10;9;17;7;15;99;9;13
4;11;1;Böhm, Martin;1;1;23.407;16.414;1.753;1.612;2.400;6.993;1.894;2.122;4.318;2.315
4;11;2;Schiffers, Jan;4;2;20.133;12.987;4.914;7.146;1.312;1.414;2.193;1.073;1.203;878
4;11;3;Köhler, Florian;7;3;19.963;10.733;9.230;4.213;1.107;962;1.528;752;1.023;1.148
4;11;4;Wüst, Prof.Dr. Michael;6;4;18.350;9.060;497;785;1.594;1.032;795;9.290;896;3.461
4;11;5;Kögler, Gerd;8;5;15.339;4.931;129;85;531;85;110;3.797;194;10.408
4;11;6;Rauh, Detlef;2;6;12.828;4.486;143;118;320;2.925;151;213;8.342;616
4;11;7;Rausch, Thomas;5;7;11.320;2.971;95;95;8.349;173;210;748;196;1.454
4;11;8;Pflaum, Dominik;3;8;10.647;3.723;1.039;407;647;357;6.924;355;410;508
4;13;1;Hüttner, Michaela;1;1;1.164;458;52;83;92;61;49;70;51;706
4;13;2;Raithel, Christine;3;2;905;298;34;35;607;20;20;43;37;109
4;13;3;Fischer, Iris;2;3;404;110;10;294;17;6;3;6;2;66
4;13;4;Gerdom, Anne;5;4;260;260;55;113;13;18;20;5;23;13
4;13;5;Göcking, Simone;4;5;222;222;3;2;11;3;1;9;3;190
4;13;6;Grüner, Ursula;7;6;198;198;3;19;132;5;6;8;6;19
4;13;7;Hersch, Cornelia;13;7;189;189;9;8;117;12;7;8;11;17
4;13;8;Zeus, Claudia;6;8;158;158;4;6;10;4;5;12;11;106
4;13;9;Bauer, Dietmar;9;9;143;143;5;9;20;8;6;13;6;76
4;13;10;Pfaffenberger, Arno;8;10;133;133;4;3;17;5;0;4;15;85
4;13;11;Kampe, Werner;16;11;119;119;1;13;10;7;3;7;5;73
4;13;12;Prodöhl, Ramona;15;12;103;103;8;10;51;6;3;7;3;15
4;13;13;Hoffmann, Jürgen;12;13;99;99;1;3;2;1;4;12;3;73
4;13;14;Kraus, Martina;11;14;96;96;23;47;4;3;5;3;6;5
4;13;15;Hüttner, Reinhard;14;15;61;61;0;4;5;2;1;2;0;47
4;13;16;Kracke, Lutz-Benno;10;16;33;33;4;5;5;3;0;3;1;12
4;15;1;Krumm, Julian;1;1;2.424;2.424;155;172;543;331;198;349;258;418
4;15;2;Kreten, Julian;3;2;1.367;357;25;53;1.010;52;125;38;25;39
4;15;3;Roensch, Andreas;2;3;1.241;456;114;785;41;95;47;51;66;42
4;15;4;Hartmann, Andreas;5;4;994;243;11;25;34;24;19;751;25;105
4;15;5;Walter, Thilo;4;5;592;592;88;225;53;69;42;32;49;34
4;15;6;Thielmann, Cornelia;11;6;424;424;36;99;43;42;37;68;46;53
4;15;7;Beck, Michael;6;7;393;393;8;18;197;25;8;39;30;68
4;15;8;Zippel, Julian;7;8;354;354;57;78;29;53;25;45;39;28
4;15;9;Frerking, Silas Rouven;9;9;306;306;36;78;27;42;37;34;31;21
4;15;10;Hautsch, Markus;8;10;238;238;20;19;41;25;19;43;17;54
4;15;11;Schern, Frank;10;11;173;173;6;7;13;8;7;101;9;22
4;16;1;Köhler, Werner;1;1;748;362;50;50;35;48;34;386;57;88
4;16;2;Schmalz, Boris;3;2;604;604;59;59;91;91;68;78;85;73
4;16;3;Jäckel, Britta;2;3;495;495;41;19;33;24;21;261;37;59
4;18;1;Frederking, Reinhard;3;1;761;263;23;43;498;36;44;33;31;53
4;18;2;Billner, Christian;1;2;512;512;63;69;108;33;72;45;62;60
4;18;3;Pförtsch, Christian;5;3;377;377;27;33;120;31;26;40;47;53
4;18;4;Schindelmann, Felix;2;4;272;272;20;16;101;20;13;28;29;45
4;18;5;O'Toole, Shelby;6;5;200;200;22;20;34;20;13;21;30;40
4;18;6;Frederking, Regina;4;6;196;196;12;11;98;13;19;16;11;16
4;18;7;Granegger, Bettina;7;7;143;143;18;10;43;11;15;14;13;19
