WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;401;402;403;404;405;406;407;408
4;1;1;Huml;Melanie;1;1;139264;116316;26972;22948;13574;13848;14613;12102;20114;15093
4;1;2;Brendel-Fischer;Gudrun;3;2;43381;6366;128;348;37015;140;187;631;336;4596
4;1;3;Schöffel;Martin;8;3;36473;3192;49;126;683;120;150;1916;148;33281
4;1;4;Dremel;Holger;9;4;36365;7007;29358;3977;562;443;451;375;766;433
4;1;5;Baumgärtner;Jürgen;16;5;32821;587;54;63;52;195;40;69;32234;114
4;1;6;König;Alexander;5;6;29191;2072;41;95;178;127;91;27119;604;936
4;1;7;Mittag;Martin;4;7;26720;1925;199;333;168;24795;153;136;748;188
4;1;8;Hofmann;Michael;11;8;24363;775;284;171;124;43;23588;54;50;49
4;1;9;Hohl;Dr. Michael;10;9;22845;22845;74;219;17497;195;285;1052;409;3114
4;1;10;Lerchenfeld Freiherr von;Ludwig;2;10;22309;22309;299;2763;1062;486;398;4679;3080;9542
4;1;11;Kraus;Rosa;7;11;15967;15967;770;825;2570;669;8776;805;750;802
4;1;12;Schulz;Michael;13;12;10905;10905;67;135;118;8822;162;180;1187;234
4;1;13;Kuhn;Stefan;12;13;10874;10874;1103;8049;148;201;734;144;343;152
4;1;14;Wagner;Paul-Bernhard;6;14;8879;8879;67;138;159;102;91;7472;296;554
4;1;15;Zorn;Christian;15;15;4787;4787;54;72;64;159;83;75;4066;214
4;1;16;Hummel;Alexander;14;16;4503;4503;1635;1836;127;128;356;132;168;121
4;2;1;Aures;Inge;1;1;47158;29456;1236;2032;7297;3235;2192;7872;5592;17702
4;2;2;Adelt;Klaus;2;2;24912;5780;48;82;324;116;70;19132;436;4704
4;2;3;Busch;Michael;3;3;17526;2192;79;120;134;15334;88;242;1241;288
4;2;4;Tasdelen;Halil;5;4;13875;2088;40;102;11787;108;217;266;81;1274
4;2;5;Pohl;Dr. Ralf;4;5;11910;1757;71;164;219;642;148;202;10153;311
4;2;6;Kuntke;Heinz;6;6;7178;1900;1071;5278;124;120;303;62;91;129
4;2;7;Bartl;Franziska;9;7;6326;6326;63;139;154;5333;132;122;226;157
4;2;8;Metzner;Uwe;8;8;5424;1395;4029;1105;61;59;61;29;38;42
4;2;9;Karabag;Dr. Atila;7;9;5312;804;79;204;193;88;4508;95;73;72
4;2;10;Flauder;Christina;13;10;4882;4882;17;19;168;37;14;87;147;4393
4;2;11;Mielentz;Jörg;12;11;4789;4789;25;32;80;42;46;3623;53;888
4;2;12;Müller;Sebastian;10;12;3287;3287;48;75;45;270;35;50;2663;101
4;2;13;Müller;Miriam;11;13;3209;3209;562;1655;152;155;268;118;136;163
4;2;14;Winkelmaier;Oliver;14;14;1945;1945;19;23;1632;45;119;26;26;55
4;2;15;Schmidt;Richard;15;15;1342;1342;34;29;60;52;1024;37;55;51
4;2;16;Berger;Joscha;16;16;842;842;299;138;76;62;113;48;47;59
4;3;1;Glauber;Thorsten;1;1;29259;11929;2017;1264;2850;1470;17330;1336;1444;1548
4;3;2;Ludwig;Rainer;2;2;15817;4574;162;127;815;255;1211;577;1427;11243
4;3;3;Wiedemann;Florian;3;3;12844;2040;165;161;10804;189;339;257;170;759
4;3;4;Zwingmann;Michael;4;4;10062;1381;61;58;146;378;125;134;8681;479
4;3;5;Scheer;Verena;7;5;8774;2333;6441;1686;131;77;112;93;137;97
4;3;6;Simmerlein;Elisabeth;6;6;8166;8166;137;54;114;74;7589;41;95;62
4;3;7;Preißler;Maria;5;7;6760;1293;112;81;223;5467;135;135;438;169
4;3;8;Stetten von;Dr. Klaus;13;8;6316;6316;55;62;330;98;145;933;103;4590
4;3;9;Grötsch;Hans Martin;8;9;6280;721;66;64;176;60;107;5559;85;163
4;3;10;Lampl;Maria;10;10;5722;5722;90;70;3974;115;152;279;134;908
4;3;11;Schutty;Dietmar;9;11;5029;1364;839;3665;81;106;133;36;95;74
4;3;12;Rödel;Peter;15;12;3985;3985;54;35;98;64;58;3451;74;151
4;3;13;Deuerling;Georg;11;13;3539;3539;88;40;70;111;53;50;2876;251
4;3;14;John;Claudia;14;14;3250;3250;909;1028;191;281;272;138;291;140
4;3;15;Kräußlich;Max;16;15;2767;2767;30;26;45;2499;44;20;76;27
4;3;16;Weber;Viktor;12;16;774;774;240;412;26;9;26;19;21;21
4;4;1;Sowa;Ursula;1;1;34483;21445;4807;13038;3828;2470;3411;2040;2498;2391
4;4;2;Pargent;Tim;2;2;21203;8180;394;2961;13023;613;674;1089;676;1773
4;4;3;Huber;Emmerich;4;3;11751;1988;163;721;446;166;9763;170;175;147
4;4;4;Memmel;Edith;3;4;11493;3550;199;740;610;1124;253;245;7943;379
4;4;5;Lunz;Georg;10;5;11100;2841;8259;1975;226;112;191;75;164;98
4;4;6;Prechtel;Dr. Annette;7;6;11053;11053;385;1412;1315;468;5986;486;463;538
4;4;7;Sinterhauf;Ina;5;7;10896;1367;95;255;190;9529;97;164;460;106
4;4;8;Gote;Ulrike;15;8;8978;8978;112;602;5687;232;207;742;278;1118
4;4;9;Kukla;Wilfried;8;9;8538;321;12;36;73;13;19;154;14;8217
4;4;10;Brammer;Philipp;6;10;7522;1313;47;250;325;114;131;6209;130;316
4;4;11;Benzel-Weyh;Martina;9;11;5480;5480;58;219;170;4610;88;66;215;54
4;4;12;Glüsenkamp;Jonas;16;12;3380;3380;239;2605;165;68;124;52;75;52
4;4;13;Artmann;Brigitte;11;13;2740;2740;35;47;125;35;39;194;92;2173
4;4;14;Motschmann;Valentin;14;14;2473;2473;78;294;152;247;64;66;1462;110
4;4;15;Wandel;Elisabeth;13;15;1775;1775;47;107;135;61;69;1225;58;73
4;4;16;Behr;Ralph;12;16;1426;1426;462;358;193;76;128;72;78;59
4;5;1;Körber;Sebastian;1;1;9741;6417;931;1632;1145;709;3324;697;606;697
4;5;2;Pöhner;Martin;2;2;5816;2749;706;3067;306;271;822;184;255;205
4;5;3;Funke-Barjak;Luisa;7;3;4377;518;30;56;3859;49;54;115;57;157
4;5;4;Otte;Michael;3;4;3873;674;48;91;205;86;98;65;81;3199
4;5;5;Herbert;Dr. Ulrich;6;5;3759;955;61;113;149;2804;86;117;328;101
4;5;6;Huttner;Dr. Stephan;13;6;3751;3751;56;102;2420;130;110;217;97;619
4;5;7;Bischoff;Harald;4;7;3666;683;63;51;58;243;78;83;2983;107
4;5;8;Wünsche;Martin;5;8;3478;486;2992;226;42;28;101;27;34;28
4;5;9;Senf;Peter;8;9;3400;509;14;26;46;49;26;2891;37;311
4;5;10;Wernsdörfer;Steffen;10;10;2624;2624;470;963;224;187;229;161;222;168
4;5;11;Schick;Stefan;12;11;1488;1488;37;56;87;34;1193;28;25;28
4;5;12;Gebhard;Gerold;16;12;1137;1137;13;15;21;1002;8;13;37;28
4;5;13;Froeschmann;Peter;14;13;859;859;6;8;25;14;8;683;14;101
4;5;14;Drechsler;Margit;9;14;842;842;20;33;91;44;32;72;110;440
4;5;15;Pflaum;Sebastian;11;15;737;737;260;116;68;47;128;37;44;37
4;5;16;Nehmzow;Irmgard;15;16;306;306;15;20;23;11;7;10;190;30
4;6;1;Lehmann;Paul;1;1;8518;5936;958;2582;1237;643;895;788;639;776
4;6;2;Tränkenschuh;Andreas;7;2;3263;1676;1587;1006;208;121;86;97;85;73
4;6;3;Sommerer;Sebastian;4;3;3158;704;18;68;2454;20;36;102;22;438
4;6;4;Bätz;Florian;9;4;3028;868;56;56;59;2160;34;83;513;67
4;6;5;Frisch;Manuel;3;5;2650;510;22;53;95;25;30;2140;32;253
4;6;6;Greim;Oswald;8;6;2480;221;12;33;51;11;38;49;27;2259
4;6;7;Knoblach;Detlef;6;7;2384;572;40;98;106;71;49;99;1812;109
4;6;8;Saeidi;Babette;2;8;2096;2096;87;610;216;621;116;133;158;155
4;6;9;Pätzke;Wilfried;10;9;1976;140;25;27;31;6;1836;14;16;21
4;6;10;Baumgartner;Ludwig;11;10;1232;1232;56;201;256;96;81;163;79;300
4;6;11;Hähnlein;René;16;11;943;943;9;21;23;789;4;22;57;18
4;6;12;Schmittnägel;Gabriele;5;12;617;617;32;31;46;25;32;379;23;49
4;6;13;Warstat;Stefan;13;13;538;538;19;32;55;35;31;63;255;48
4;6;14;Zimmermann;Gerhard;12;14;481;481;83;224;28;15;47;35;17;32
4;6;15;Hluchy;Linus;14;15;479;479;28;33;29;18;311;20;19;21
4;6;16;Gellenthien;Tobias;15;16;220;220;21;13;29;24;95;15;10;13
4;7;1;Wagner;Jürgen;1;1;2618;2057;441;381;236;236;147;561;294;322
4;7;2;Zeigler;Christiane;6;2;1594;393;47;35;73;55;33;104;46;1201
4;7;3;Sedlmeyer;Gunther;5;3;1439;331;1108;41;46;51;33;33;56;71
4;7;4;Gerbig;Matthias;8;4;1325;562;110;119;51;54;55;73;763;100
4;7;5;Ehret;Alfred;3;5;1291;612;48;19;679;32;352;63;45;53
4;7;6;Voß;Torsten;7;6;1081;352;42;26;125;45;729;34;32;48
4;7;7;Dotzler;Thomas;2;7;1037;436;84;601;45;37;27;148;39;56
4;7;8;Suck;Frank;4;8;986;459;153;47;40;527;45;46;43;85
4;8;1;Müller;Thomas;1;1;2709;1374;156;205;211;242;177;113;1335;270
4;8;2;Büchner;Lucas;7;2;1353;557;206;796;52;116;84;16;55;28
4;8;3;Büchner;Thomas;3;3;1274;162;13;48;12;1112;15;10;57;7
4;8;4;Sieling;Tobias;4;4;1257;423;834;152;53;52;49;14;70;33
4;8;5;Forster;Manuela;2;5;933;288;20;26;34;37;645;22;129;20
4;8;6;Englert;Reinhard;8;6;824;193;3;4;6;8;5;7;160;631
4;8;7;Koppe;Bernd;6;7;744;70;12;4;674;15;12;7;6;14
4;8;8;Schmidt;Stephan;5;8;451;73;3;3;6;5;9;378;14;33
4;8;9;Raabs;Christoph;9;9;448;448;10;16;16;370;8;7;17;4
4;8;10;Grimm;Raphael;10;10;411;411;63;172;23;39;45;16;25;28
4;8;11;Lenk;Markus;14;11;278;278;6;19;170;16;15;8;11;33
4;8;12;Duppel;Ralf;12;12;186;186;2;8;7;5;6;134;5;19
4;8;13;Wilhelm;Simon;15;13;146;146;7;5;10;6;109;2;5;2
4;8;14;Pülz;Michael;16;14;124;124;4;5;3;24;3;9;72;4
4;8;15;Bachmeyer;Konrad;11;15;113;113;4;3;31;3;1;6;4;61
4;8;16;Dworazik;Dietmar;13;16;73;73;38;25;0;2;3;1;2;2
4;9;1;Rödel;Michael;1;1;1408;963;109;145;172;121;140;445;109;167
4;9;2;Goßrau;Peter;2;2;794;277;34;23;33;43;26;87;517;31
4;9;3;Wagner;Karl;3;3;534;534;46;41;59;40;40;180;53;75
4;9;4;Korb;Stephan;5;4;433;433;19;14;30;32;20;249;28;41
4;9;5;Berek;Anita;6;5;421;421;38;43;40;29;35;36;30;170
4;9;6;Leopold;Richard;4;6;388;388;38;32;40;18;206;14;21;19
4;9;7;Steffen;Nico;9;7;340;340;89;88;22;35;24;20;33;29
4;9;8;Rauh;Daniel;7;8;316;316;16;9;12;14;9;7;235;14
4;9;9;Sturm;Holger;8;9;179;179;10;9;17;7;15;99;9;13
4;11;1;Böhm;Martin;1;1;23407;16414;1753;1612;2400;6993;1894;2122;4318;2315
4;11;2;Schiffers;Jan;4;2;20133;12987;4914;7146;1312;1414;2193;1073;1203;878
4;11;3;Köhler;Florian;7;3;19963;10733;9230;4213;1107;962;1528;752;1023;1148
4;11;4;Wüst;Prof.Dr. Michael;6;4;18350;9060;497;785;1594;1032;795;9290;896;3461
4;11;5;Kögler;Gerd;8;5;15339;4931;129;85;531;85;110;3797;194;10408
4;11;6;Rauh;Detlef;2;6;12828;4486;143;118;320;2925;151;213;8342;616
4;11;7;Rausch;Thomas;5;7;11320;2971;95;95;8349;173;210;748;196;1454
4;11;8;Pflaum;Dominik;3;8;10647;3723;1039;407;647;357;6924;355;410;508
4;13;1;Hüttner;Michaela;1;1;1164;458;52;83;92;61;49;70;51;706
4;13;2;Raithel;Christine;3;2;905;298;34;35;607;20;20;43;37;109
4;13;3;Fischer;Iris;2;3;404;110;10;294;17;6;3;6;2;66
4;13;4;Gerdom;Anne;5;4;260;260;55;113;13;18;20;5;23;13
4;13;5;Göcking;Simone;4;5;222;222;3;2;11;3;1;9;3;190
4;13;6;Grüner;Ursula;7;6;198;198;3;19;132;5;6;8;6;19
4;13;7;Hersch;Cornelia;13;7;189;189;9;8;117;12;7;8;11;17
4;13;8;Zeus;Claudia;6;8;158;158;4;6;10;4;5;12;11;106
4;13;9;Bauer;Dietmar;9;9;143;143;5;9;20;8;6;13;6;76
4;13;10;Pfaffenberger;Arno;8;10;133;133;4;3;17;5;0;4;15;85
4;13;11;Kampe;Werner;16;11;119;119;1;13;10;7;3;7;5;73
4;13;12;Prodöhl;Ramona;15;12;103;103;8;10;51;6;3;7;3;15
4;13;13;Hoffmann;Jürgen;12;13;99;99;1;3;2;1;4;12;3;73
4;13;14;Kraus;Martina;11;14;96;96;23;47;4;3;5;3;6;5
4;13;15;Hüttner;Reinhard;14;15;61;61;0;4;5;2;1;2;0;47
4;13;16;Kracke;Lutz-Benno;10;16;33;33;4;5;5;3;0;3;1;12
4;15;1;Krumm;Julian;1;1;2424;2424;155;172;543;331;198;349;258;418
4;15;2;Kreten;Julian;3;2;1367;357;25;53;1010;52;125;38;25;39
4;15;3;Roensch;Andreas;2;3;1241;456;114;785;41;95;47;51;66;42
4;15;4;Hartmann;Andreas;5;4;994;243;11;25;34;24;19;751;25;105
4;15;5;Walter;Thilo;4;5;592;592;88;225;53;69;42;32;49;34
4;15;6;Thielmann;Cornelia;11;6;424;424;36;99;43;42;37;68;46;53
4;15;7;Beck;Michael;6;7;393;393;8;18;197;25;8;39;30;68
4;15;8;Zippel;Julian;7;8;354;354;57;78;29;53;25;45;39;28
4;15;9;Frerking;Silas Rouven;9;9;306;306;36;78;27;42;37;34;31;21
4;15;10;Hautsch;Markus;8;10;238;238;20;19;41;25;19;43;17;54
4;15;11;Schern;Frank;10;11;173;173;6;7;13;8;7;101;9;22
4;16;1;Köhler;Werner;1;1;748;362;50;50;35;48;34;386;57;88
4;16;2;Schmalz;Boris;3;2;604;604;59;59;91;91;68;78;85;73
4;16;3;Jäckel;Britta;2;3;495;495;41;19;33;24;21;261;37;59
4;18;1;Frederking;Reinhard;3;1;761;263;23;43;498;36;44;33;31;53
4;18;2;Billner;Christian;1;2;512;512;63;69;108;33;72;45;62;60
4;18;3;Pförtsch;Christian;5;3;377;377;27;33;120;31;26;40;47;53
4;18;4;Schindelmann;Felix;2;4;272;272;20;16;101;20;13;28;29;45
4;18;5;O'Toole;Shelby;6;5;200;200;22;20;34;20;13;21;30;40
4;18;6;Frederking;Regina;4;6;196;196;12;11;98;13;19;16;11;16
4;18;7;Granegger;Bettina;7;7;143;143;18;10;43;11;15;14;13;19
