WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;701;702;703;704;705;706;707;708;709;710;711;712;713
7;5;20;Kuhnen;Peter;23;20;1103;1103;20;8;15;14;18;9;48;16;8;25;10;53;859
7;5;21;Quante;Thomas;21;21;695;695;38;23;543;5;32;3;6;3;9;13;4;7;9
7;5;22;Hartleitner;Maximilian;16;22;628;628;13;13;15;19;40;9;10;171;13;33;260;23;9
7;5;23;Baumann;Sebastian;24;23;613;613;12;4;6;4;7;4;5;17;16;18;4;496;20
7;5;24;Thinschmidt;Dieter;20;24;599;599;6;4;6;2;2;4;5;12;33;502;13;5;5
7;5;25;Mohr;Bernhard;12;25;446;446;18;18;24;12;31;12;18;174;21;33;39;22;24
7;5;26;Dietz;Michael;22;26;393;393;6;7;9;6;13;5;7;16;214;60;33;8;9
7;6;1;Zwiselsberger;Manuela;1;1;12976;9132;3844;1426;1017;733;910;616;470;661;837;719;565;481;697
7;6;2;Mayer;Andreas;2;2;6362;2938;1429;3424;163;173;288;137;72;126;128;128;94;86;114
7;6;3;Gebhardt;Kevin;10;3;4061;1762;242;117;30;52;80;56;59;202;2.299;411;241;151;121
7;6;4;Österle;Dietmar;6;4;2545;434;54;40;15;34;21;19;61;21;51;37;27;54;2.111
7;6;5;Schlotter;Michael;20;5;2475;196;9;4;0;4;4;4;5;13;115;2.279;19;13;6
7;6;6;Billor;Kerem;18;6;2308;497;166;127;20;18;1811;11;18;19;30;30;15;11;32
7;6;7;Gänsheimer;Christoph;4;7;2285;573;68;59;25;22;32;17;18;155;61;44;1.712;26;46
7;6;8;Schiele;Christian;24;8;2259;579;58;34;35;1680;28;202;31;26;41;34;34;27;29
7;6;9;Meichelböck;Paul;16;9;2159;379;17;12;1;7;10;13;9;1.780;63;15;207;14;11
7;6;10;Zwiselsberger;Andreas;14;10;1938;321;103;34;1617;14;15;8;9;19;37;22;22;10;28
7;6;11;Himpenmacher;Tobias;23;11;1854;126;12;11;7;41;9;1728;2;8;10;8;5;6;7
7;6;12;Kaufmann;Udo;22;12;1799;168;17;12;7;6;10;9;5;43;17;15;9;1.631;18
7;6;13;Balkheimer;Stefan;8;13;1774;420;54;29;17;41;21;11;1354;32;36;44;16;25;94
7;6;14;Hutter;Otto;12;14;1318;1318;358;330;70;63;125;45;38;43;64;62;39;37;44
7;6;15;Lausberg;Lina;3;15;1297;1297;116;110;37;36;43;22;37;70;114;533;62;45;72
7;6;16;Sperl;Daniel;25;16;1022;1022;104;65;21;34;42;30;43;56;72;68;30;72;385
7;6;17;Münderlein;Xenia;5;17;843;843;106;66;22;23;24;422;22;25;36;29;18;28;22
7;6;18;Wilholm;Christine;11;18;694;694;239;246;27;27;60;11;16;14;16;10;11;6;11
7;6;19;Bauer;Rita;19;19;648;648;62;45;18;67;26;189;23;35;54;39;32;21;37
7;6;20;Balkheimer;Sabrina;7;20;620;620;29;21;6;31;8;12;326;19;15;16;8;24;105
7;6;21;Zanker;Verena;13;21;505;505;54;31;12;18;16;10;10;20;83;26;23;167;35
7;6;22;Benz;Heike;9;22;497;497;33;27;7;26;19;13;21;18;23;22;15;103;170
7;6;23;Rupprecht;Anita;17;23;366;366;91;70;24;22;53;18;12;16;17;15;9;7;12
7;6;24;Tsernos;Gregor;26;24;341;341;60;85;21;27;40;20;12;19;11;20;6;7;13
7;6;25;Diron;Anke;15;25;333;333;99;84;16;20;37;4;12;8;12;16;10;7;8
7;6;26;Just;Michaela;21;26;243;243;6;5;3;3;14;5;6;25;24;7;11;120;14
7;7;1;Kellerer;Helmut;1;1;3168;2463;705;225;389;289;289;274;147;169;90;98;206;148;139
7;7;2;Eißner;Jürgen;2;2;2709;470;100;14;32;23;22;18;13;134;38;25;2.239;36;15
7;7;3;Lehnert;Andreas Alfred;7;3;2282;567;25;42;67;1715;55;136;37;35;29;30;36;38;37
7;7;4;Gumpinger;Josef Hagen;8;4;2205;581;21;30;70;92;1624;35;90;53;28;32;57;39;34
7;7;5;Eser;Gerhard;3;5;1869;159;15;18;1710;22;40;6;4;9;7;4;18;10;6
7;7;6;Eißner;Sabine Angela;11;6;1768;454;10;15;39;19;32;24;9;1.314;20;23;224;21;18
7;7;7;Eberhard;Harald;5;7;1759;753;107;1006;150;90;112;57;38;49;18;22;45;31;34
7;7;8;Kirchmann;Dr. Josef Anton;4;8;1391;757;24;11;29;34;23;24;17;30;120;349;62;34;634
7;7;9;Höpfinger;Günter;6;9;1362;312;75;60;51;36;33;1050;6;3;3;7;8;18;12
7;7;10;Hilscher;Dr. Thomas;17;10;1309;1309;17;32;42;28;22;16;19;85;45;22;923;32;26
7;7;11;Schmidt;Wolfgang;12;11;1289;315;14;22;24;51;50;16;974;28;19;16;17;30;28
7;7;12;Leising;Otto;10;12;1288;183;3;4;16;16;12;16;10;12;52;1.105;18;17;7
7;7;13;Brünisholz;Uwe;9;13;1238;343;7;11;23;22;26;23;12;28;895;31;53;89;18
7;7;14;Waibl;Magnus;13;14;1210;257;6;5;12;7;9;5;4;21;12;5;154;953;17
7;7;15;Englisch;Sabine;15;15;864;864;29;24;58;59;30;460;23;43;24;21;36;28;29
7;7;16;Schmidt;Anke;25;16;738;738;12;28;45;68;60;29;291;38;27;16;37;37;50
7;7;17;Settele;Andreas;19;17;716;716;15;27;35;29;32;14;15;289;23;25;137;34;41
7;7;18;Bernhard;Tobias;14;18;644;644;29;29;71;22;224;20;25;65;19;12;56;39;33
7;7;19;Steinböck;Anton;24;19;428;428;78;122;63;50;40;20;9;6;7;7;6;12;8
7;7;20;Neumann;Bernhard;18;20;421;421;61;75;52;36;53;37;14;21;14;16;11;15;16
7;7;21;Hochlenert;Stefan;22;21;359;359;9;11;17;14;13;10;7;8;37;179;19;18;17
7;7;22;Staudigl;Rolf;20;22;349;349;10;18;266;13;11;5;3;8;3;3;2;4;3
7;7;23;Zierof;Johann Georg;21;23;311;311;3;2;15;5;13;5;7;11;157;36;14;34;9
7;7;24;Förg;Franz;23;24;298;298;6;12;14;143;53;8;9;7;12;13;6;7;8
7;7;25;Glaser;Roland;16;25;271;271;5;3;15;5;13;5;9;25;11;9;135;25;11
7;8;1;Buchberger;Prof.Dr. Dieter Erwin;1;1;6316;3598;327;247;334;214;351;217;223;419;322;297;374;2.718;273
7;8;2;Becker;Dr. Andreas;9;2;1950;1128;38;32;58;822;67;567;41;52;51;48;52;79;43
7;8;3;Posch;Maria;12;3;1635;232;28;21;1403;18;32;10;16;24;22;8;17;22;14
7;8;4;Hofer;Michael;7;4;1565;350;7;8;4;4;9;1;12;31;1.215;93;87;78;16
7;8;5;Rottmann-Börner;Rosina Katharina;6;5;1515;211;7;7;14;8;17;4;13;1.304;16;5;22;84;14
7;8;6;Pettinger;Christian;5;6;1492;705;787;174;130;52;121;24;17;21;21;21;25;80;19
7;8;7;Schimmer-Göresz;Gabriela Johanna;2;7;1463;1463;14;16;16;14;14;5;36;58;25;27;36;1.082;120
7;8;8;Thum;Johannes;13;8;1407;258;18;13;25;99;13;1149;7;7;11;14;11;29;11
7;8;9;Dornach;Krimhilde Marianne;4;9;1356;335;16;22;23;10;22;20;36;24;22;21;46;73;1.021
7;8;10;Wagner;Roland;14;10;1273;84;1;1;4;4;5;4;3;9;23;20;1.189;6;4
7;8;11;Finger;Michael;3;11;1272;245;5;10;9;4;4;6;5;11;123;1.027;18;38;12
7;8;12;Berchtold;Sonja Maria;10;12;1170;357;19;26;36;19;48;20;813;39;28;25;34;34;29
7;8;13;Olbrich-Krakowitzer;Gabriele;8;13;1108;113;10;20;9;10;995;2;6;9;6;1;10;23;7
7;8;14;Link;Dr. Manfred Theodor;11;14;994;115;17;879;20;24;12;5;4;5;3;9;4;8;4
7;8;15;Fritzsche;Matthias;24;15;796;796;17;28;34;23;32;430;30;39;26;29;40;49;19
7;8;16;Vidal;Klaus;22;16;773;773;15;13;50;12;39;14;52;47;28;38;62;75;328
7;8;17;Rembold;Karl;23;17;525;525;15;14;23;51;20;271;22;21;17;15;13;25;18
7;8;18;Tucher von Simmelsdorf Freiherr;Clemens;16;18;467;467;21;13;333;23;28;8;7;7;3;6;0;11;7
7;8;19;Fichtl;Xaver;15;19;374;374;4;11;12;4;7;6;4;9;8;270;16;15;8
7;8;20;Miller;Peter;25;20;363;363;7;7;2;7;8;3;6;208;6;3;18;80;8
7;8;21;Albrecht;Jan-Simon;17;21;352;352;31;74;38;24;25;13;10;22;31;17;18;34;15
7;8;22;Wintergerst;Meinrad;19;22;291;291;2;1;2;11;6;1;23;6;161;24;23;29;2
7;8;23;Neher;Franz Josef;21;23;255;255;7;5;9;4;12;3;11;118;4;5;23;44;10
7;8;24;Huemer;Robert;26;24;232;232;64;37;29;6;29;9;7;4;10;8;10;15;4
7;8;25;Mattausch;Christian;18;25;179;179;4;3;3;4;1;2;139;2;4;2;5;5;5
7;8;26;Neidinger;Rafael;20;26;172;172;9;6;8;3;105;1;6;9;5;0;13;3;4
7;9;1;Gasser;Benjamin;1;1;1964;1400;153;153;102;120;125;101;137;125;88;99;77;120;564
7;9;2;Bachmeir;Wilfried;3;2;1229;739;87;101;66;51;490;54;41;134;36;47;32;18;72
7;9;3;Kollien-Glaser;Martin;2;3;1184;739;46;38;40;37;81;31;43;445;66;55;135;41;126
7;9;4;Jung;Andreas;5;4;796;796;87;79;50;53;183;31;46;68;24;41;30;28;76
7;9;5;Proißl;Michael;4;5;740;430;16;14;8;25;30;17;310;16;13;17;11;15;248
7;11;1;Bayerbach;Markus;1;1;45553;37397;8156;5686;4430;4122;5183;2697;2888;2.055;1.923;1.757;1.582;2.618;2.456
7;11;2;Maier;Christoph;5;2;22438;13313;458;344;553;607;619;825;1276;2.626;2.186;977;986;9.125;1.856
7;11;3;Mannes;Gerd;2;3;18142;9281;1889;374;419;1119;626;536;8861;294;392;383;299;605;2.345
7;11;4;Singer;Ulrich;3;4;15656;7885;665;412;636;1897;585;7771;806;351;377;410;284;893;569
7;11;5;Keller;Karl;8;5;14930;7176;341;256;660;422;587;404;618;7.754;476;547;1.593;787;485
7;11;6;Settele;Josef;9;6;14337;5244;504;450;9093;946;431;449;413;401;320;327;259;452;292
7;11;7;Jurca;Andreas;7;7;13577;5295;2886;8282;458;341;742;177;174;74;78;65;67;118;115
7;11;8;Hauptmann;Rafael;4;8;13284;3108;169;151;412;10176;147;1683;104;78;77;67;42;91;87
7;11;9;Großkurth;Dr. Gerhard;12;9;12952;3897;119;103;173;312;130;125;1433;172;232;157;74;867;9.055
7;11;10;Vachenauer;Dr. Wilhelm;10;10;12291;4863;81;60;95;88;90;75;114;318;7.428;1.557;854;1.273;258
7;11;11;Fabian;Reinhard;13;11;11134;1787;395;165;477;157;9347;90;112;90;58;43;53;85;62
7;11;12;Keib;Axel;11;12;9201;2507;72;78;177;125;92;112;162;206;860;6.694;159;271;193
7;11;13;Rotter;Wolfgang;6;13;8915;2355;135;87;134;91;97;78;158;992;194;101;6.560;186;102
7;12;1;Kreutz;Sebastian;1;1;168;107;7;13;4;9;10;11;61;11;11;10;7;5;9
7;12;2;Zühlke;Roland;2;2;166;166;8;12;4;10;11;73;11;4;5;5;6;4;13
7;12;3;Kölbl;Dorothea;4;3;62;62;6;5;3;3;4;3;17;5;3;5;2;0;6
7;12;4;Kreutz;Christa;5;4;57;57;5;3;1;5;4;0;22;5;3;0;2;3;4
7;12;5;Eichmüller;Thomas;3;5;33;33;5;1;2;1;1;3;4;3;3;5;1;2;2
7;13;1;Jovy;Jörg;1;1;777;508;79;269;50;28;37;35;23;44;43;56;57;30;26
7;13;2;Clamroth;Benjamin;3;2;568;281;287;79;34;19;30;9;16;12;14;20;21;17;10
7;13;3;Hüntemann;Matthias;4;3;373;119;8;9;0;4;7;6;3;9;27;254;21;16;9
7;13;4;Schmitz;Regina;2;4;316;316;36;55;29;15;15;14;12;29;20;37;21;18;15
7;13;5;Ludwig;Karlheinz;6;5;316;316;101;59;12;25;16;16;17;11;7;11;12;13;16
7;13;6;Krämer;Andreas;5;6;132;132;20;3;49;4;9;5;6;6;1;20;2;3;4
7;13;7;Krcek;David;7;7;72;72;5;5;21;4;3;9;5;2;2;4;4;1;7
7;15;1;Baier;Christian;1;1;2555;2555;297;272;202;150;309;162;136;171;210;157;178;165;146
7;15;2;Viertel;Kai;6;2;1176;269;907;40;21;29;45;19;13;14;19;16;22;16;15
7;15;3;Klingelhöfer;Anja;4;3;1106;1106;179;141;96;79;87;76;45;50;76;81;56;74;66
7;15;4;Baumeister;Christian;2;4;876;876;118;187;60;67;79;40;53;34;65;64;33;33;43
7;15;5;Zacher;Markus;8;5;863;225;26;18;13;15;638;13;15;51;24;10;13;16;11
7;15;6;Veit;Oliver;5;6;842;842;176;139;48;51;75;55;23;32;41;51;37;58;56
7;15;7;Glaser;Michael;3;7;713;713;66;55;50;38;73;48;110;54;51;41;32;50;45
7;15;8;Wachsmann;Daniel;7;8;368;368;80;30;36;27;52;19;13;20;23;10;16;17;25
7;18;1;Wegner;Roland;1;1;1451;976;123;118;112;475;135;71;48;52;52;55;120;41;49
7;18;2;Rudolf;Heike;3;2;759;318;441;72;34;36;61;26;9;8;18;16;9;10;19
7;18;3;Harle;Konrad;4;3;685;167;52;518;20;24;19;2;7;5;7;8;7;7;9
7;18;4;Wohlfahrt;Leonie;13;4;659;189;27;9;15;9;16;11;19;19;30;13;470;10;11
7;18;5;Heydrich;Roy;2;5;647;305;25;30;15;72;31;20;30;17;17;12;14;22;342
7;18;6;Burger;Kristin;18;6;595;595;55;53;70;55;48;43;27;36;40;50;49;24;45
7;18;7;Springer;Eva-Marie;6;7;464;154;7;8;10;81;7;310;7;3;4;11;8;1;7
7;18;8;Schlipf;Pia;11;8;459;53;10;15;4;4;406;1;0;2;6;4;3;3;1
7;18;9;Liermann;Frank;8;9;457;37;10;5;420;0;4;1;0;7;2;2;3;0;3
7;18;10;Rayner;Edith Maria;9;10;411;101;7;9;4;2;4;5;1;6;310;15;14;25;9
7;18;11;Fahr;Birgit;7;11;408;90;3;9;3;16;3;7;318;7;5;9;9;8;11
7;18;12;Hanson;Cheyenne;5;12;402;402;73;55;31;24;38;20;25;18;17;23;34;16;28
7;18;13;Greif;Katharina;15;13;398;86;6;4;4;5;6;0;0;12;15;10;11;312;13
7;18;14;Herzog;Stefan;17;14;385;22;3;3;3;1;1;3;1;1;0;363;1;1;4
7;18;15;Woywode;Daniela;12;15;319;64;5;5;5;1;7;0;2;255;4;5;13;10;7
7;18;16;Burghart;Anna;20;16;294;294;20;21;21;59;31;20;10;6;20;19;22;17;28
7;18;17;Buttala;Martina;10;17;224;224;20;17;8;14;14;11;63;6;13;20;11;12;15
7;18;18;Frey;Marcel;14;18;144;144;14;5;5;4;9;1;7;3;25;47;12;4;8
7;18;19;Heck;Raphael Markus;16;19;107;107;21;17;12;2;12;4;7;6;1;5;3;4;13
7;18;20;Springer;Marian Anton;19;20;60;60;3;2;4;16;2;21;2;2;1;1;1;2;3
